,ID,Type,Price,Lot Size,Currency,Time,Time2
0,1,Buy,1146.77,1.0,eurusd,08:01:49.539146,22:22:28.080000
1,2,Buy,1146.535,1.0,eurusd,08:01:50.607097,22:41:13.913000
2,3,Sell,1147.07,1.0,eurusd,08:01:50.613602,22:41:13.913000
3,4,Sell,1146.835,1.0,eurusd,08:01:51.309192,22:51:44.856000
4,5,Buy,1146.54,1.0,eurusd,08:01:52.045767,23:00:02.810000
5,6,Buy,1146.3649999999998,1.0,eurusd,08:01:52.804463,23:00:41.129000
6,7,Sell,1146.84,1.0,eurusd,08:01:52.813573,23:00:41.129000
7,8,Buy,1146.73,1.0,eurusd,08:01:53.517892,23:05:15.214000
8,9,Sell,1146.6649999999997,1.0,eurusd,08:01:53.524618,23:05:15.214000
9,10,Buy,1146.665,1.0,eurusd,08:01:54.198513,23:12:15.706000
10,11,Sell,1147.03,1.0,eurusd,08:01:54.206138,23:12:15.706000
11,12,Sell,1146.965,1.0,eurusd,08:01:54.899808,23:14:54.897000
12,13,Buy,1146.655,1.0,eurusd,08:01:55.617656,23:18:27.778000
13,14,Sell,1146.955,1.0,eurusd,08:01:56.427271,23:20:53.451000
14,15,Buy,1146.795,1.0,eurusd,08:01:57.139212,23:26:00.871000
15,16,Sell,1147.095,1.0,eurusd,08:01:57.924070,23:32:57.980000
16,17,Buy,1146.545,1.0,eurusd,08:01:59.274291,23:52:00.261000
17,18,Sell,1146.845,1.0,eurusd,08:01:59.979079,00:00:00.706000
18,19,Buy,1146.1399999999999,1.0,eurusd,08:02:00.651528,00:05:42.911000
19,20,Buy,1146.155,1.0,eurusd,08:02:01.339371,00:10:32.482000
20,21,Sell,1146.4399999999998,1.0,eurusd,08:02:01.346732,00:10:32.482000
21,22,Buy,1146.2599999999998,1.0,eurusd,08:02:02.076249,00:18:17.518000
22,23,Sell,1146.455,1.0,eurusd,08:02:02.083847,00:18:17.518000
23,24,Buy,1146.1200000000001,1.0,eurusd,08:02:02.779807,00:26:20.392000
24,25,Sell,1146.5599999999997,1.0,eurusd,08:02:02.786676,00:26:20.392000
25,26,Buy,1145.915,1.0,eurusd,08:02:03.493195,00:33:02.129000
26,27,Sell,1146.42,1.0,eurusd,08:02:03.500851,00:33:02.129000
27,28,Buy,1145.6200000000001,1.0,eurusd,08:02:04.274825,00:41:07.218000
28,29,Sell,1146.215,1.0,eurusd,08:02:04.281476,00:41:07.218000
29,30,Buy,1145.625,1.0,eurusd,08:02:04.964086,00:50:49.924000
30,31,Sell,1145.92,1.0,eurusd,08:02:04.972159,00:50:49.924000
31,32,Sell,1145.925,1.0,eurusd,08:02:05.822084,01:01:10.471000
32,33,Buy,1145.6050000000002,1.0,eurusd,08:02:06.546840,01:04:23.414000
33,34,Buy,1145.435,1.0,eurusd,08:02:07.235980,01:08:45.069000
34,35,Sell,1145.9050000000002,1.0,eurusd,08:02:07.243427,01:08:45.069000
35,36,Buy,1145.375,1.0,eurusd,08:02:07.911187,01:13:50.730000
36,37,Sell,1145.735,1.0,eurusd,08:02:07.917941,01:13:50.730000
37,38,Buy,1145.415,1.0,eurusd,08:02:08.576797,01:20:21.311000
38,39,Sell,1145.675,1.0,eurusd,08:02:08.585219,01:20:21.311000
39,40,Buy,1145.495,1.0,eurusd,08:02:09.375586,01:29:56.887000
40,41,Sell,1145.715,1.0,eurusd,08:02:09.384163,01:29:56.887000
41,42,Buy,1145.385,1.0,eurusd,08:02:10.021652,01:36:24.627000
42,43,Sell,1145.7949999999998,1.0,eurusd,08:02:10.029081,01:36:24.627000
43,44,Buy,1145.335,1.0,eurusd,08:02:10.691491,01:42:15.085000
44,45,Sell,1145.685,1.0,eurusd,08:02:10.698685,01:42:15.085000
45,46,Buy,1145.405,1.0,eurusd,08:02:11.353839,01:48:32.985000
46,47,Sell,1145.635,1.0,eurusd,08:02:11.360059,01:48:32.985000
47,48,Buy,1145.0149999999999,1.0,eurusd,08:02:12.034025,01:52:08.231000
48,49,Sell,1145.705,1.0,eurusd,08:02:12.042040,01:52:08.231000
49,50,Buy,1144.86,1.0,eurusd,08:02:12.741323,01:55:21.625000
50,51,Sell,1145.3149999999998,1.0,eurusd,08:02:12.748127,01:55:21.625000
51,52,Buy,1145.1899999999998,1.0,eurusd,08:02:13.458549,01:59:42.665000
52,53,Sell,1145.1599999999999,1.0,eurusd,08:02:13.465693,01:59:42.665000
53,54,Buy,1145.26,1.0,eurusd,08:02:14.139193,02:01:57.946000
54,55,Sell,1145.4899999999998,1.0,eurusd,08:02:14.146586,02:01:57.946000
55,56,Sell,1145.56,1.0,eurusd,08:02:14.824262,02:06:26.123000
56,57,Buy,1145.3,1.0,eurusd,08:02:15.452720,02:12:30.964000
57,58,Buy,1145.335,1.0,eurusd,08:02:16.096147,02:16:53.894000
58,59,Sell,1145.6,1.0,eurusd,08:02:16.103075,02:16:53.894000
59,60,Buy,1145.2949999999998,1.0,eurusd,08:02:16.876489,02:20:01.173000
60,61,Sell,1145.635,1.0,eurusd,08:02:16.883677,02:20:01.173000
61,62,Buy,1145.335,1.0,eurusd,08:02:17.566844,02:22:48.607000
62,63,Sell,1145.5949999999998,1.0,eurusd,08:02:17.574619,02:22:48.607000
63,64,Buy,1145.07,1.0,eurusd,08:02:18.318255,02:26:00.062000
